Store Name,Region,Brand,Category,Subcategory,Gender,MRP Bucket,Attribute 1,Attribute 2,Style,Season Tag,MRP,Size,EAN,Parent SKU,Store Stock,Distributed Stock,Post Distributed Stock,Reason,Replenishment Sales Qty,Initial Warehouse Stock,Remaining Warehouse Stock,Initial Planogram Gap,Remaining Planogram Gap
Delhi Dwarka Sec 09,NORTH,RAYBAN,FRAME,METAL|FULL|SQUARE,MALE,6290,,,SYS78549,,6290,FREE,SYS78549,RX6514I - Rayban - Male - 2502 - 58 - Full Frame - Square - Metal,1,1,2,REPLENISH,1,2,0,99959,99907
Gurgaon Sector 51 M2K,NORTH,ADMYRA,FRAME,SHEET|FULL|SQUARE,MALE,2790,,,SYS162295,,2790,FREE,SYS162295,AM 0130 - Admyra - Male - Grey - 55 - Full Frame - Square - Sheet,1,1,2,REPLENISH,1,8,0,99858,99854
Jodhpur Sardarpura,WEST,AVANTA,FRAME,METAL|SUPRA|RECTANGLE,MALE,790,,,SYS165677,,790,FREE,SYS165677,AV 56809 - Avanta - Male - MT.Black - 53 - Supra - Rectangle - Metal,0,1,1,REPLENISH,1,1,0,99879,99867
Delhi Shahdara,NORTH,ADMYRA,FRAME,SHEET|FULL|SQUARE,MALE,2190,,,SYS142677,,2190,FREE,SYS142677,AM 109 - Admyra - Male - D/Brown - 53 - Full Frame - Square - Sheet,1,1,2,REPLENISH,1,23,0,99853,99850
Delhi Dwarka Sec 09,NORTH,VOGUE,FRAME,SHEET|FULL|ROUND,MALE,3390,,,SYS78182,,3390,FREE,SYS78182,VO5535I - Vogue - Male - W44 - 50 - Full Frame - Round - Sheet,0,1,1,REPLENISH,3,1,0,99964,99950
Delhi Dwarka Sec 09,NORTH,VOGUE,SUNGLASS,METAL|FULL|CAT EYE,FEMALE,6090,,,SYS78190,,6090,FREE,SYS78190,VO4286S - Vogue - Female - 848/73 - 56 - Sunglass - Cat Eye - Metal,0,1,1,REPLENISH,1,1,0,99986,99981
Delhi Dwarka Sec 09,NORTH,VOGUE,SUNGLASS,METAL|FULL|SQUARE,MALE,4490,,,SYS78192,,4490,FREE,SYS78192,VO4294SI - Vogue - Male - 352/11 - 56 - Sunglass - Square - Metal,0,1,1,REPLENISH,1,2,0,99986,99981
Ghaziabad Nehru Nagar,NORTH,AVANTA,FRAME,METAL|FULL|OVAL,MALE,1790,,,SYS82988,,1790,FREE,SYS82988,AV 7012 - Avanta - Male - C5 - 50 - Full Frame - Oval - Metal,0,1,1,REPLENISH,1,1,0,99771,99754
Delhi Dwarka Sec 09,NORTH,ADMYRA,FRAME,TR|FULL|CAT EYE,FEMALE,2190,,,SYS163967,,2190,FREE,SYS163967,AM 9905 - Admyra - Female - C2 - 54 - Full Frame - Cat Eye - TR,0,1,1,REPLENISH,1,3,0,99784,99640
Delhi Dwarka Sec 09,NORTH,ADMYRA,FRAME,TR|FULL|CAT EYE,FEMALE,2190,,,SYS163966,,2190,FREE,SYS163966,AM 9905 - Admyra - Female - C7 - 54 - Full Frame - Cat Eye - TR,0,1,1,REPLENISH,2,1,0,99784,99640
Delhi Dwarka Sec 09,NORTH,ADMYRA,FRAME,TR|FULL|CAT EYE,FEMALE,2190,,,SYS163965,,2190,FREE,SYS163965,AM 9905 - Admyra - Female - C6 - 54 - Full Frame - Cat Eye - TR,0,1,1,REPLENISH,2,1,0,99784,99640
Delhi Dwarka Sec 09,NORTH,ADMYRA,FRAME,TR|FULL|CAT EYE,FEMALE,2190,,,SYS163964,,2190,FREE,SYS163964,AM 9905 - Admyra - Female - C4 - 54 - Full Frame - Cat Eye - TR,0,2,2,REPLENISH,2,2,0,99784,99640
Delhi Dwarka Sec 09,NORTH,ADMYRA,FRAME,TR|FULL|CAT EYE,FEMALE,2190,,,SYS163970,,2190,FREE,SYS163970,AM 9906 - Admyra - Female - C6 - 52 - Full Frame - Cat Eye - TR,0,1,1,REPLENISH,1,2,0,99784,99640
Noida MOI,NORTH,STEPPER,FRAME,TITANIUM|RIMLESS|CAT EYE,FEMALE,8360,,,SYS113836,,8360,FREE,SYS113836,SI/93626 - Stepper - Female - F010 - 54 - Rimless - Cat Eye - Titanium,0,1,1,REPLENISH,1,1,0,99984,99981
Delhi Dwarka Sec 09,NORTH,ADMYRA,FRAME,TR|FULL|CAT EYE,FEMALE,2190,,,SYS163976,,2190,FREE,SYS163976,AM 9906 - Admyra - Female - C4 - 52 - Full Frame - Cat Eye - TR,0,1,1,REPLENISH,1,2,0,99784,99640
Delhi Dwarka Sec 09,NORTH,ADMYRA,FRAME,TR|FULL|CAT EYE,FEMALE,2190,,,SYS163990,,2190,FREE,SYS163990,AM 9909 - Admyra - Female - C6 - 51 - Full Frame - Cat Eye - TR,0,1,1,REPLENISH,1,2,0,99784,99640
Jaipur Malviya Nagar,WEST,AVANTA,FRAME,TR|FULL|RECTANGLE,MALE,990,,,SYS166954,,990,FREE,SYS166954,AV 50046 - Avanta - Male - C1 - 50 - Full Frame - Rectangle - TR,0,1,1,REPLENISH,1,1,0,99658,99611
Agra Ashoka Plaza,NORTH,AVANTA,FRAME,TR|FULL|SQUARE,MALE,990,,,SYS160999,,990,FREE,SYS160999,AV 132003 - Avanta - Male - MT.Blue - 50 - Full Frame - Square - TR,0,1,1,REPLENISH,1,1,0,99786,99605
Ajmer Ramganj,WEST,AVANTA,FRAME,SHEET|FULL|CAT EYE,FEMALE,1190,,,SYS158492,,1190,FREE,SYS158492,AV 0074 - Avanta - Female - Pink - 51 - Full Frame - Cat Eye - Sheet,1,1,2,REPLENISH,1,6,0,99841,99728
Ajmer Ramganj,WEST,AVANTA,FRAME,SHEET|FULL|CAT EYE,FEMALE,1190,,,SYS158495,,1190,FREE,SYS158495,AV 0074 - Avanta - Female - Teal - 51 - Full Frame - Cat Eye - Sheet,1,1,2,REPLENISH,1,10,0,99841,99728
Patiala Randhawa Eye,NORTH,AVANTA,FRAME,METAL|FULL|AVIATOR,MALE,1190,,,SYS164253,,1190,FREE,SYS164253,AV 526057 - Avanta - Male - Blk/Silver - 53 - Full Frame - Aviator - Metal,0,1,1,REPLENISH,1,1,0,99609,99267
Gurgaon Sec 29,NORTH,ADMYRA,FRAME,SHEET|FULL|SQUARE,MALE,2190,,,SYS142673,,2190,FREE,SYS142673,AM 109 - Admyra - Male - Black - 53 - Full Frame - Square - Sheet,1,1,2,REPLENISH,1,26,0,99897,99862
Ranchi Kutchery Road,EAST,AVANTA,FRAME,METAL|SUPRA|RECTANGLE,MALE,890,,,SYS148034,,890,FREE,SYS148034,AV 31001 - Avanta - Male - Black - 51 - Supra - Rectangle - Metal,0,1,1,REPLENISH,1,9,0,99599,99572
Ajmer Ramganj,WEST,AVANTA,FRAME,SHEET|FULL|ROUND,UNISEX,1190,,,SYS158417,,1190,FREE,SYS158417,AV 0068HD - Avanta - Unisex - Trans/Purple - 48 - Full Frame - Round - Sheet,0,1,1,REPLENISH,1,63,0,99841,99728
Ajmer Ramganj,WEST,AVANTA,FRAME,SHEET|FULL|SQUARE,MALE,1190,,,SYS158368,,1190,FREE,SYS158368,AV 0064 - Avanta - Male - Black - 54 - Full Frame - Square - Sheet,0,1,1,REPLENISH,1,172,0,99841,99728
Ajmer Ramganj,WEST,AVANTA,FRAME,SHEET|FULL|SQUARE,MALE,1190,,,SYS158370,,1190,FREE,SYS158370,AV 0064 - Avanta - Male - D/Green - 54 - Full Frame - Square - Sheet,0,1,1,REPLENISH,1,68,0,99841,99728
Ajmer Ramganj,WEST,AVANTA,FRAME,SHEET|FULL|CAT EYE,FEMALE,1190,,,SYS158408,,1190,FREE,SYS158408,AV 0072HD - Avanta - Female - Black - 51 - Full Frame - Cat Eye - Sheet,0,2,2,REPLENISH,2,83,0,99841,99728
Ajmer Ramganj,WEST,AVANTA,FRAME,SHEET|FULL|CAT EYE,FEMALE,1190,,,SYS158410,,1190,FREE,SYS158410,AV 0072HD - Avanta - Female - Purple - 51 - Full Frame - Cat Eye - Sheet,0,1,1,REPLENISH,1,77,0,99841,99728
Ajmer Ramganj,WEST,AVANTA,FRAME,SHEET|FULL|CAT EYE,FEMALE,1190,,,SYS158419,,1190,FREE,SYS158419,AV 0066 - Avanta - Female - D/Brown - 53 - Full Frame - Cat Eye - Sheet,0,2,2,REPLENISH,2,15,0,99841,99728
Ajmer Ramganj,WEST,AVANTA,FRAME,SHEET|FULL|ROUND,UNISEX,1190,,,SYS158413,,1190,FREE,SYS158413,AV 0068HD - Avanta - Unisex - Black - 48 - Full Frame - Round - Sheet,0,1,1,REPLENISH,1,87,0,99841,99728
Ajmer Ramganj,WEST,AVANTA,FRAME,SHEET|FULL|ROUND,UNISEX,1190,,,SYS158414,,1190,FREE,SYS158414,AV 0068HD - Avanta - Unisex - D/Wine - 48 - Full Frame - Round - Sheet,0,2,2,REPLENISH,2,100,0,99841,99728
Ajmer Ramganj,WEST,AVANTA,FRAME,SHEET|FULL|RECTANGLE,MALE,1190,,,SYS158379,,1190,FREE,SYS158379,AV 0061 - Avanta - Male - D/Brown - 53 - Full Frame - Rectangle - Sheet,1,1,2,REPLENISH,1,129,0,99841,99728
Ajmer Ramganj,WEST,AVANTA,FRAME,SHEET|FULL|RECTANGLE,MALE,1190,,,SYS158381,,1190,FREE,SYS158381,AV 0061 - Avanta - Male - Trans/Grey - 53 - Full Frame - Rectangle - Sheet,0,1,1,REPLENISH,1,138,0,99841,99728
Pune Satara Road Jhamwar Eye,WEST,AVANTA KIDS,FRAME,TR|FULL|SQUARE,KIDS,790,,,SYS164684,,790,FREE,SYS164684,AV 2206 - Avanta Kids - Kids - Trans/Grey - 45 - Full Frame - Square - TR,0,1,1,REPLENISH,1,1,0,99958,99957
Sikar Police Line Road I Max,WEST,AVANTA,FRAME,TR|FULL|CAT EYE,FEMALE,990,,,SYS167116,,990,FREE,SYS167116,AV 250981 - Avanta - Female - C2 - 47 - Full Frame - Cat Eye - TR,0,1,1,REPLENISH,1,4,0,99174,98617
Surat Rander Road,WEST,AVANTA,FRAME,SHEET|FULL|CAT EYE,FEMALE,1190,,,SYS158412,,1190,FREE,SYS158412,AV 0072HD - Avanta - Female - Trans/Brown - 51 - Full Frame - Cat Eye - Sheet,0,1,1,REPLENISH,1,56,0,99755,99749
Gorakhpur Mughlaha,NORTH,ADMYRA,FRAME,SHEET|FULL|CAT EYE,FEMALE,2190,,,SYS139958,,2190,FREE,SYS139958,AM 115 - Admyra - Female - Transparent - 51 - Full Frame - Cat Eye - Sheet,0,1,1,REPLENISH,1,3,0,99755,99750
Gorakhpur Mughlaha,NORTH,AVANTA,FRAME,SHEET|FULL|RECTANGLE,MALE,1690,,,SYS139951,,1690,FREE,SYS139951,AV 0048 - Avanta - Male - Green - 53 - Full Frame - Rectangle - Sheet,0,1,1,REPLENISH,1,2,0,99667,99643
Gorakhpur Mughlaha,NORTH,ADMYRA,FRAME,SHEET|FULL|CAT EYE,FEMALE,2190,,,SYS139960,,2190,FREE,SYS139960,AM 115 - Admyra - Female - Trans/Pink - 51 - Full Frame - Cat Eye - Sheet,1,1,2,REPLENISH,1,13,0,99755,99750
Patiala Randhawa Eye,NORTH,AVANTA,FRAME,SHEET|FULL|SQUARE,MALE,1190,,,SYS162645,,1190,FREE,SYS162645,AV 0063 - Avanta - Male - Black - 51 - Full Frame - Square - Sheet,0,1,1,REPLENISH,1,121,0,99609,99267
Patiala Randhawa Eye,NORTH,AVANTA,FRAME,SHEET|FULL|SQUARE,MALE,1190,,,SYS162649,,1190,FREE,SYS162649,AV 0063 - Avanta - Male - Trans/Grey - 51 - Full Frame - Square - Sheet,0,1,1,REPLENISH,1,289,0,99609,99267
Rewari Sector 5,NORTH,AVANTA,FRAME,SHEET|FULL|ROUND,UNISEX,1190,,,SYS158415,,1190,FREE,SYS158415,AV 0068HD - Avanta - Unisex - Transparent - 48 - Full Frame - Round - Sheet,1,1,2,REPLENISH,1,92,0,99531,99518
Rewari Sector 5,NORTH,AVANTA,FRAME,SHEET|FULL|CAT EYE,FEMALE,1190,,,SYS158408,,1190,FREE,SYS158408,AV 0072HD - Avanta - Female - Black - 51 - Full Frame - Cat Eye - Sheet,0,2,2,REPLENISH,2,83,0,99531,99518
Rewari Sector 5,NORTH,AVANTA,FRAME,SHEET|FULL|CAT EYE,FEMALE,1190,,,SYS158409,,1190,FREE,SYS158409,AV 0072HD - Avanta - Female - Trans/Pink - 51 - Full Frame - Cat Eye - Sheet,2,0,2,REPLENISH,1,101,0,99531,99518
Rewari Sector 5,NORTH,AVANTA,FRAME,SHEET|FULL|RECTANGLE,MALE,1190,,,SYS158385,,1190,FREE,SYS158385,AV 0067 - Avanta - Male - Trans/Green - 54 - Full Frame - Rectangle - Sheet,0,1,1,REPLENISH,1,1,0,99531,99518
Rewari Sector 5,NORTH,AVANTA,FRAME,SHEET|FULL|RECTANGLE,MALE,1190,,,SYS158380,,1190,FREE,SYS158380,AV 0061 - Avanta - Male - Trans/Blue - 53 - Full Frame - Rectangle - Sheet,0,1,1,REPLENISH,1,121,0,99531,99518
Rewari Sector 5,NORTH,AVANTA,FRAME,SHEET|FULL|RECTANGLE,MALE,1190,,,SYS158381,,1190,FREE,SYS158381,AV 0061 - Avanta - Male - Trans/Grey - 53 - Full Frame - Rectangle - Sheet,0,1,1,REPLENISH,1,138,0,99531,99518
Rewari Sector 5,NORTH,AVANTA,FRAME,SHEET|FULL|CAT EYE,FEMALE,1190,,,SYS158495,,1190,FREE,SYS158495,AV 0074 - Avanta - Female - Teal - 51 - Full Frame - Cat Eye - Sheet,0,1,1,REPLENISH,1,10,0,99531,99518
Delhi Preet Vihar Vikas Marg,NORTH,VOGUE,FRAME,SHEET|FULL|RECTANGLE,MALE,6590,,,SYS144850,,6590,FREE,SYS144850,VO5619 - Vogue - Male - W44 - 52 - Full Frame - Rectangle - Sheet,0,1,1,REPLENISH,1,1,0,99960,99957
Vijayawada Mogalrajpuram,SOUTH,AVANTA,FRAME,SHEET|FULL|SQUARE,MALE,1090,,,SYS78005,,1090,FREE,SYS78005,AV 0041 - Avanta - Male - MT.Black - 52 - Full Frame - Square - Sheet,0,1,1,REPLENISH,1,1,0,99730,99588
Pune Satara Road Jhamwar Eye,WEST,AVANTA,FRAME,METAL|FULL|SQUARE,MALE,1590,,,SYS165398,,1590,FREE,SYS165398,AV 56111 - Avanta - Male - C5 - 55 - Full Frame - Square - Metal,0,1,1,REPLENISH,1,4,0,99706,99701
Kharghar Laxmi Eye,WEST,VOGUE,FRAME,SHEET|FULL|CAT EYE,FEMALE,5490,,,SYS115918,,5490,FREE,SYS115918,VO5518 - Vogue - Female - 3181 - 51 - Full Frame - Cat Eye - Sheet,0,1,1,REPLENISH,1,1,0,99984,99979
Guwahati Bhangagarh,NORTH,AVANTA,FRAME,TR|FULL|CAT EYE,FEMALE,990,,,SYS166995,,990,FREE,SYS166995,AV 250902 - Avanta - Female - Maroon - 47 - Full Frame - Cat Eye - TR,0,1,1,REPLENISH,1,4,0,99785,99780
Warangal Hanamkonda Kakathiya,SOUTH,AVANTA,FRAME,METAL|SUPRA|RECTANGLE,MALE,490,,,SYS160681,,490,FREE,SYS160681,AV 31010 - Avanta - Male - Gun - 51 - Supra - Rectangle - Metal,0,1,1,REPLENISH,1,12,0,99226,96995
Bhubneshwar Nayapalli,EAST,RAYBAN,FRAME,SHEET|FULL|SQUARE,UNISEX,5990,,,SYS144948,,5990,FREE,SYS144948,RX7249I - Rayban - Unisex - 8198 - 53 - Full Frame - Square - Sheet,0,1,1,REPLENISH,1,2,0,99976,99975
Jammu BC Road Rehari Chungi,NORTH,AVANTA,FRAME,TR|FULL|ROUND,FEMALE,790,,,SYS165231,,790,FREE,SYS165231,AV 66047 - Avanta - Female - Green - 47 - Full Frame - Round - TR,0,1,1,REPLENISH,1,1,0,99763,99690
Warangal Hanamkonda Kakathiya,SOUTH,ADMYRA,FRAME,SHEET|FULL|CAT EYE,FEMALE,2790,,,SYS162316,,2790,FREE,SYS162316,AM 0133 - Admyra - Female - Black - 53 - Full Frame - Cat Eye - Sheet,1,1,2,REPLENISH,1,53,0,99811,99753
