Barcode No.,Item Code,Item Name,Item Category,HSN Code,Quantity,MRP,Net Amount,Facility,Facility Name
2675294,SYS168511,AV 87002 - Avanta - Unisex - MT.Grey - 47 - Full Frame - Round - TR,Frame,90031100,1,890.0,760.3,Gwalior Lashkar Ratan Jyoti Netralaya,Gwalior Lashkar Ratan Jyoti Netralaya
101301,SYS9365,FF 5807 - Femina Flaunt - Unisex - C17 - 50 - Full Frame - Full Frame - Sheet,Frame,90031100,1,834.38,718.85,Gwalior Lashkar Ratan Jyoti Netralaya,Gwalior Lashkar Ratan Jyoti Netralaya
2752172,SYS170155,AV 99520205 - Avanta - Male - Gun - 49 - Full Frame - Hexagon - Metal,frame,90031100,1,1290.0,1096.5,Bhopal Hoshangabad Road,Bhopal Hoshangabad Road
2752618,SYS170531,AV 251017 - Avanta - Male - C1 - 53 - Full Frame - Rectangle - TR,frame,90031100,1,990.0,890.66,Varanasi Mahmoorganj,Varanasi Mahmoorganj
692455,SYS91391,AV RB016 - Avanta Kids - kids - Pink - 41 - Full Frame - Rectangle - TR,frame,90031100,1,740.63,602.39,Gurgaon Sec 29,Gurgaon Sec 29
2675000,SYS162646,AV 0063 - Avanta - Male - D/Brown - 51 - Full Frame - Square - Sheet,frame,90031100,1,1190.0,967.89,Gurgaon Sec 29,Gurgaon Sec 29
2755040,SYS171844,AV 5E201 - Avanta - Female - Trans/Green - 50 - Full Frame - Cat Eye - TR,Frame,90031100,1,1090.0,941.98,Gwalior Lashkar Ratan Jyoti Netralaya,Gwalior Lashkar Ratan Jyoti Netralaya
2669909,SYS7579,OB Sport - OMBRA - Unisex - Sunglass - Sport - Sheet,Goggles,90041000,1,1499.0,1499.0,Delhi Dwarka Sec 09,Delhi Dwarka Sec 09
2660074,SYS162582,PR B23S - Prada - Female - 16K08Z - 54 - Sunglass - Square - Sheet,goggles,90041000,1,36290.0,29032.0,Noida MOI,Noida MOI
2669909,SYS7579,OB Sport - OMBRA - Unisex - Sunglass - Sport - Sheet,Goggles,90041000,1,1499.0,1499.0,Delhi Safdarjung Enclave,Delhi Safdarjung Enclave
511212,SYS78814,SI/4105 - Stepper - Male - F092 - 51 - Half Frame - Rectangle - Titanium,frame,90031100,1,7218.75,6914.15,Gurgaon Sec 29,Gurgaon Sec 29
527186,SYS114392,AM 104 - Admyra - Male - Trans/Blue - 53 - Full Frame - Square - Sheet,frame,90031100,1,3084.38,2489.56,Delhi Dwarka Sec 09,Delhi Dwarka Sec 09
384591,SYS153483,AV 202421 - Avanta - Male - Silver - 50 - Rimless - Square - Metal,frame,90031100,1,834.38,727.5,Warangal Hanamkonda Kakathiya,Warangal Hanamkonda Kakathiya
2749903,SYS111532,VO5546I - Vogue - Unisex - 2903 - 50 - Full Frame - Round - Sheet,frame,90031100,1,3090.0,2652.02,Delhi Safdarjung Enclave,Delhi Safdarjung Enclave
2750598,SYS169621,N254503 - Nebert - Female - Mix - 50 - Full Frame - Cat Eye - TR,frame,90031100,1,890.0,815.27,Siddipet Gandhi Chowk Krishna Sai,Siddipet Gandhi Chowk Krishna Sai
2750675,SYS158504,AV 0073 - Avanta - Male - Blue - 54 - Full Frame - Rectangle - Sheet,frame,90031100,1,1190.0,892.5,Lucknow Hazratganj SAM Eye,Lucknow Hazratganj SAM Eye
2752849,SYS170762,AV 75011 - Avanta - Male - Trans/Grey - 50 - Full Frame - Rectangle - TR,frame,90031100,1,890.0,712.0,Indore Sapna Sangeeta Road,Indore Sapna Sangeeta Road
2752091,SYS170074,AV 65804 - Avanta - Female - Copper - 48 - Half Frame - Rectangle - Metal,frame,90031100,1,890.0,713.01,Varanasi Mahmoorganj,Varanasi Mahmoorganj
2751661,SYS111509,RY9097V - Rayban Junior - kids - 3897 - 44 - Full Frame - Square - Sheet,frame,90031100,1,4090.0,3681.0,Delhi Dwarka Sec 09,Delhi Dwarka Sec 09
2750585,SYS169608,J9422302 - James - Male - Mix - 53 - Half Frame - Rectangle - Metal,frame,90031100,1,990.0,891.0,Siddipet Gandhi Chowk Krishna Sai,Siddipet Gandhi Chowk Krishna Sai
2753716,SYS2856,SG Opt 1 - Dark cataract - Unisex - Black - 54 - Surgery SG - Sport - Plastic,Goggles,90041000,1,125.0,125.0,Hyderabad Neo Retina (Abids),Hyderabad Neo Retina (Abids)
2674320,SYS168325,AV 95002 - Avanta Kids - Kids - MT/D/Green - 43 - Full Frame - Round - TR,frame,90031100,1,790.0,672.25,Gurgaon Dhanak Basti New Railway Road,Gurgaon Dhanak Basti New Railway Road
617054,SYS104612,AV NSV6069 - Avanta - Male - C4 - 52 - Full Frame - Rectangle - Metal,frame,90031100,1,1115.625,1010.37,Patiala Randhawa Eye,Patiala Randhawa Eye
374589,SYS91801,AV 31009 - Avanta - Male - Pink - 50 - Supra - Rectangle - Metal,frame,90031100,1,553.125,500.95,Patiala Randhawa Eye,Patiala Randhawa Eye
375311,SYS142692,AM S3446 - Admyra - Male - C50 - 55 - Rimless - Rectangle - Titanium,frame,90031100,1,2896.88,2607.19,Prayagraj Tashkent Marg,Prayagraj Tashkent Marg
2750571,SYS169596,RHCA005 - Regular Supra - Unisex - Mix - 44 - Half Frame - Rectangle - Metal,frame,90031100,1,490.0,441.0,Siddipet Gandhi Chowk Krishna Sai,Siddipet Gandhi Chowk Krishna Sai
2751473,SYS169748,OB 8349 - Ombra - Male - C1 - 54 - Sunglass - Rectangle - TR,Goggles,90041000,1,990.0,990.0,Noida Spectrum Mall,Noida Spectrum Mall
2666148,SYS165255,AV ZC1605 - Avanta Kids - Kids - C1 - 47 - Full Frame - Rectangle - Pediatric,frame,90031100,1,1690.0,1521.0,Gaya Chanakyapuri Colony,Gaya Chanakyapuri Colony
2672896,SYS167285,AV 61309 - Avanta - Unisex - Trans/Brown - 48 - Full Frame - Round - TR,Frame,90031100,1,990.0,805.26,Gwalior Lashkar Ratan Jyoti Netralaya,Gwalior Lashkar Ratan Jyoti Netralaya
916772,SYS158578,AM 0126 - Admyra - Male - D/Grey - 54 - Full Frame - Square - Sheet,frame,90031100,1,2334.38,2279.99,Gurgaon Sec 29,Gurgaon Sec 29
2665361,SYS58938,RX6335 - Rayban - Male - 2503 - 58 - Half Frame - Rectangle - Metal,frame,90031100,1,8690.0,6517.5,Gorakhpur Mughlaha,Gorakhpur Mughlaha
480034,SYS158608,C81207 - Clever - Male - Mix - 53 - Half Frame - Rectangle - Metal,frame,90031100,1,834.0,756.48,Siddipet Gandhi Chowk Krishna Sai,Siddipet Gandhi Chowk Krishna Sai
2754573,SYS171403,AV V27601 - Avanta - Male - C3 - 53 - Supra - Rectangle - Metal,frame,90031100,1,1490.0,1192.0,Bhopal Hoshangabad Road,Bhopal Hoshangabad Road
2752820,SYS170733,AV 568810 - Avanta - Male - Trans/Grey - 53 - Full Frame - Rectangle - TR,frame,90031100,1,890.0,800.83,Gurgaon Dhanak Basti New Railway Road,Gurgaon Dhanak Basti New Railway Road
2749914,SYS144854,VO5632B - Vogue - Female - W44 - 51 - Full Frame - Cat Eye - Sheet,frame,90031100,1,7890.0,7018.06,Delhi Dwarka Sec 09,Delhi Dwarka Sec 09
2752289,SYS170272,AV 80198 - Avanta - Male - Gun - 52 - Supra - Rectangle - Metal,frame,90031100,1,890.0,890.0,Hyderabad Neo Retina (Abids),Hyderabad Neo Retina (Abids)
2672686,SYS167075,AV 156005 - Avanta - Male - Blue - 52 - Full Frame - Square - TR,frame,90031100,1,1090.0,957.82,Sikar Police Line Road I Max,Sikar Police Line Road I Max
2669002,SYS2859,SG Opt 4 - Transparent - Unisex - White - 54 - Surgery SG - Sport - Plastic,Goggles,90041000,1,200.0,200.0,Hyderabad Banjara Hills,Hyderabad Banjara Hills
2753716,SYS2856,SG Opt 1 - Dark cataract - Unisex - Black - 54 - Surgery SG - Sport - Plastic,Goggles,90041000,1,125.0,125.0,Hyderabad Banjara Hills,Hyderabad Banjara Hills
878531,SYS119308,Oscar - Lindberg - Male - U13 - 53 - Full Frame - Square - Titanium,Frame,90031100,1,60000.0,42000.0,Gurgaon Sec 29,Gurgaon Sec 29
2755205,SYS172009,AV 130010 - Avanta - Unisex - Black - 49 - Full Frame - Round - TR,frame,90031100,1,590.0,590.0,Panvel Laxmi Eye,Panvel Laxmi Eye
2754637,SYS152919,AV CA8906 - Avanta - Male - C2 - 55 - Rimless - Aviator - Metal,frame,90031100,1,1990.0,1393.0,Delhi Dwarka Sec 09,Delhi Dwarka Sec 09
2751957,SYS169946,AV 527432 - Avanta - Male - Blue - 49 - Supra - Rectangle - Metal,frame,90031100,1,790.0,711.0,Kanpur Mall Road,Kanpur Mall Road
2665219,SYS144721,VO5644I - Vogue - Male - 2570 - 54 - Full Frame - Rectangle - Sheet,frame,90031100,1,3490.0,3440.12,Delhi Safdarjung Enclave,Delhi Safdarjung Enclave
2754907,SYS171711,AV 25220 - Avanta - Male - D.Green - 52 - Full Frame - Rectangle - TR,frame,90031100,1,1090.0,1090.0,Panvel Laxmi Eye,Panvel Laxmi Eye
221703,SYS44162,VS 5865 - Vision Spring - Unisex - .+3.00 - 52 - Full Frame - Full Frame - Plastic,frame,90031100,1,186.56,149.56,Delhi Ashok Vihar Phase II,Delhi Ashok Vihar Phase II
541584,SYS144597,AM 117 - Admyra - Female - D/Burgundy - 52 - Full Frame - Cat Eye - Sheet,frame,90031100,1,2490.0,1992.0,Jaipur Malviya Nagar,Jaipur Malviya Nagar
2755483,SYS172286,AV CR2412 - Avanta - Male - C1 - 51 - Full Frame - Square - Metal,Frame,90031100,1,890.0,753.44,Indore Vijay Nagar,Indore Vijay Nagar
2676217,SYS2856,SG Opt 1 - Dark cataract - Unisex - Black - 54 - Surgery SG - Sport - Plastic,Goggles,90041000,3,125.0,300.0,Gwalior Lashkar Ratan Jyoti Netralaya,Gwalior Lashkar Ratan Jyoti Netralaya
2754719,SYS171549,AM CH6016 - Admyra - Male - C1 - 54 - Supra - Rectangle - Metal,frame,90031100,1,2790.0,2391.43,Jamshedpur Singhbhum,Jamshedpur Singhbhum
